"filename", "language", "C++", "XMake", "GLSL", "comment", "blank", "total"
"d:\Adata\study\opengl\engine\include\core\Application.hpp", "C++", 29, 0, 0, 0, 10, 39
"d:\Adata\study\opengl\engine\include\core\Camera.hpp", "C++", 57, 0, 0, 4, 14, 75
"d:\Adata\study\opengl\engine\include\core\Framebuffer.hpp", "C++", 48, 0, 0, 0, 7, 55
"d:\Adata\study\opengl\engine\include\core\Geometry.hpp", "C++", 38, 0, 0, 0, 3, 41
"d:\Adata\study\opengl\engine\include\core\Light.hpp", "C++", 80, 0, 0, 0, 15, 95
"d:\Adata\study\opengl\engine\include\core\Material.hpp", "C++", 39, 0, 0, 3, 10, 52
"d:\Adata\study\opengl\engine\include\core\Mesh.hpp", "C++", 57, 0, 0, 0, 13, 70
"d:\Adata\study\opengl\engine\include\core\Model.hpp", "C++", 52, 0, 0, 0, 11, 63
"d:\Adata\study\opengl\engine\include\core\Renderer.hpp", "C++", 155, 0, 0, 16, 31, 202
"d:\Adata\study\opengl\engine\include\core\Shader.hpp", "C++", 29, 0, 0, 1, 8, 38
"d:\Adata\study\opengl\engine\include\core\Texture.hpp", "C++", 34, 0, 0, 1, 7, 42
"d:\Adata\study\opengl\engine\include\stb_image.h", "C++", 5833, 0, 0, 1294, 861, 7988
"d:\Adata\study\opengl\engine\include\ui\EditorUI.hpp", "C++", 39, 0, 0, 0, 8, 47
"d:\Adata\study\opengl\engine\include\utils\FileSystem.hpp", "C++", 10, 0, 0, 0, 2, 12
"d:\Adata\study\opengl\engine\include\utils\Logger.hpp", "C++", 27, 0, 0, 0, 7, 34
"d:\Adata\study\opengl\engine\resources\shaders\deferred\geometry_pass.frag", "GLSL", 0, 0, 49, 6, 11, 66
"d:\Adata\study\opengl\engine\resources\shaders\deferred\geometry_pass.vert", "GLSL", 0, 0, 23, 0, 6, 29
"d:\Adata\study\opengl\engine\resources\shaders\deferred\lighting_pass.frag", "GLSL", 0, 0, 123, 18, 38, 179
"d:\Adata\study\opengl\engine\resources\shaders\deferred\lighting_pass.vert", "GLSL", 0, 0, 8, 0, 3, 11
"d:\Adata\study\opengl\engine\resources\shaders\forward\blinn_phong.frag", "GLSL", 0, 0, 154, 25, 49, 228
"d:\Adata\study\opengl\engine\resources\shaders\forward\blinn_phong.vert", "GLSL", 0, 0, 23, 0, 6, 29
"d:\Adata\study\opengl\engine\src\core\Application.cpp", "C++", 134, 0, 0, 10, 21, 165
"d:\Adata\study\opengl\engine\src\core\Camera.cpp", "C++", 74, 0, 0, 1, 13, 88
"d:\Adata\study\opengl\engine\src\core\Framebuffer.cpp", "C++", 115, 0, 0, 2, 24, 141
"d:\Adata\study\opengl\engine\src\core\Geometry.cpp", "C++", 263, 0, 0, 31, 73, 367
"d:\Adata\study\opengl\engine\src\core\Light.cpp", "C++", 101, 0, 0, 3, 12, 116
"d:\Adata\study\opengl\engine\src\core\Material.cpp", "C++", 87, 0, 0, 0, 13, 100
"d:\Adata\study\opengl\engine\src\core\Mesh.cpp", "C++", 49, 0, 0, 7, 16, 72
"d:\Adata\study\opengl\engine\src\core\Model.cpp", "C++", 166, 0, 0, 13, 33, 212
"d:\Adata\study\opengl\engine\src\core\Renderer.cpp", "C++", 427, 0, 0, 39, 72, 538
"d:\Adata\study\opengl\engine\src\core\Shader.cpp", "C++", 118, 0, 0, 3, 26, 147
"d:\Adata\study\opengl\engine\src\core\Texture.cpp", "C++", 80, 0, 0, 0, 14, 94
"d:\Adata\study\opengl\engine\src\main.cpp", "C++", 7, 0, 0, 0, 1, 8
"d:\Adata\study\opengl\engine\src\ui\EditorUI.cpp", "C++", 374, 0, 0, 21, 52, 447
"d:\Adata\study\opengl\engine\src\utils\FileSystem.cpp", "C++", 23, 0, 0, 2, 5, 30
"d:\Adata\study\opengl\engine\src\utils\Logger.cpp", "C++", 37, 0, 0, 1, 6, 44
"d:\Adata\study\opengl\engine\xmake.lua", "XMake", 0, 14, 0, 69, 3, 86
"Total", "-", 8582, 14, 380, 1570, 1504, 12050
