"filename", "language", "GLSL", "XMake", "C++", "comment", "blank", "total"
"d:\Adata\study\opengl\engine\include\core\Framebuffer.hpp", "C++", 0, 0, 12, 12, 14, 38
"d:\Adata\study\opengl\engine\include\core\Geometry.hpp", "C++", 0, 0, 86, 1, 4, 91
"d:\Adata\study\opengl\engine\include\core\Mesh.hpp", "C++", 0, 0, 15, 3, 1, 19
"d:\Adata\study\opengl\engine\include\core\Renderer.hpp", "C++", 0, 0, 6, 0, 0, 6
"d:\Adata\study\opengl\engine\resources\shaders\forward\blinn_phong.frag", "GLSL", 2, 0, 0, 1, 1, 4
"d:\Adata\study\opengl\engine\resources\shaders\postprocess\bloom_blur.frag", "GLSL", 28, 0, 0, 0, 2, 30
"d:\Adata\study\opengl\engine\resources\shaders\postprocess\bloom_prefilter.frag", "GLSL", 14, 0, 0, 0, 2, 16
"d:\Adata\study\opengl\engine\resources\shaders\postprocess\post.frag", "GLSL", 26, 0, 0, 4, 7, 37
"d:\Adata\study\opengl\engine\resources\shaders\postprocess\quad.vert", "GLSL", 9, 0, 0, 0, 3, 12
"d:\Adata\study\opengl\engine\resources\shaders\postprocess\ssao.frag", "GLSL", 34, 0, 0, 0, 7, 41
"d:\Adata\study\opengl\engine\src\core\Application.cpp", "C++", 0, 0, 0, 0, -1, -1
"d:\Adata\study\opengl\engine\src\core\Framebuffer.cpp", "C++", 0, 0, 37, 1, 10, 48
"d:\Adata\study\opengl\engine\src\core\Geometry.cpp", "C++", 0, 0, 112, -5, 11, 118
"d:\Adata\study\opengl\engine\src\core\Renderer.cpp", "C++", 0, 0, 106, 7, 11, 124
"d:\Adata\study\opengl\engine\src\main.cpp", "C++", 0, 0, 1, 1, 0, 2
"d:\Adata\study\opengl\engine\src\ui\EditorUI.cpp", "C++", 0, 0, 181, 8, 1, 190
"d:\Adata\study\opengl\engine\xmake.lua", "XMake", 0, 4, 0, 0, 0, 4
"Total", "-", 113, 4, 556, 33, 73, 779
