"filename", "language", "GLSL", "XMake", "C++", "comment", "blank", "total"
"d:\Adata\study\opengl\engine\include\core\Application.hpp", "C++", 0, 0, 29, 0, 10, 39
"d:\Adata\study\opengl\engine\include\core\Camera.hpp", "C++", 0, 0, 58, 4, 14, 76
"d:\Adata\study\opengl\engine\include\core\Framebuffer.hpp", "C++", 0, 0, 60, 12, 21, 93
"d:\Adata\study\opengl\engine\include\core\Geometry.hpp", "C++", 0, 0, 140, 1, 7, 148
"d:\Adata\study\opengl\engine\include\core\Light.hpp", "C++", 0, 0, 125, 1, 26, 152
"d:\Adata\study\opengl\engine\include\core\Material.hpp", "C++", 0, 0, 43, 3, 11, 57
"d:\Adata\study\opengl\engine\include\core\Mesh.hpp", "C++", 0, 0, 76, 3, 14, 93
"d:\Adata\study\opengl\engine\include\core\Model.hpp", "C++", 0, 0, 52, 0, 11, 63
"d:\Adata\study\opengl\engine\include\core\Renderer.hpp", "C++", 0, 0, 227, 19, 33, 279
"d:\Adata\study\opengl\engine\include\core\Shader.hpp", "C++", 0, 0, 29, 1, 8, 38
"d:\Adata\study\opengl\engine\include\core\Texture.hpp", "C++", 0, 0, 34, 1, 7, 42
"d:\Adata\study\opengl\engine\include\stb_image.h", "C++", 0, 0, 5833, 1294, 861, 7988
"d:\Adata\study\opengl\engine\include\ui\EditorUI.hpp", "C++", 0, 0, 60, 2, 11, 73
"d:\Adata\study\opengl\engine\include\utils\FileDialog.hpp", "C++", 0, 0, 8, 5, 3, 16
"d:\Adata\study\opengl\engine\include\utils\FileSystem.hpp", "C++", 0, 0, 10, 0, 2, 12
"d:\Adata\study\opengl\engine\include\utils\Logger.hpp", "C++", 0, 0, 27, 0, 7, 34
"d:\Adata\study\opengl\engine\resources\shaders\deferred\geometry_pass.frag", "GLSL", 49, 0, 0, 6, 11, 66
"d:\Adata\study\opengl\engine\resources\shaders\deferred\geometry_pass.vert", "GLSL", 23, 0, 0, 0, 6, 29
"d:\Adata\study\opengl\engine\resources\shaders\deferred\lighting_pass.frag", "GLSL", 123, 0, 0, 18, 38, 179
"d:\Adata\study\opengl\engine\resources\shaders\deferred\lighting_pass.vert", "GLSL", 8, 0, 0, 0, 3, 11
"d:\Adata\study\opengl\engine\resources\shaders\forward\blinn_phong.frag", "GLSL", 156, 0, 0, 26, 50, 232
"d:\Adata\study\opengl\engine\resources\shaders\forward\blinn_phong.vert", "GLSL", 23, 0, 0, 0, 6, 29
"d:\Adata\study\opengl\engine\resources\shaders\postprocess\bloom_blur.frag", "GLSL", 28, 0, 0, 0, 2, 30
"d:\Adata\study\opengl\engine\resources\shaders\postprocess\bloom_prefilter.frag", "GLSL", 14, 0, 0, 0, 2, 16
"d:\Adata\study\opengl\engine\resources\shaders\postprocess\post.frag", "GLSL", 26, 0, 0, 4, 7, 37
"d:\Adata\study\opengl\engine\resources\shaders\postprocess\quad.vert", "GLSL", 9, 0, 0, 0, 3, 12
"d:\Adata\study\opengl\engine\resources\shaders\postprocess\ssao.frag", "GLSL", 34, 0, 0, 0, 7, 41
"d:\Adata\study\opengl\engine\resources\shaders\utility\light.frag", "GLSL", 7, 0, 0, 0, 2, 9
"d:\Adata\study\opengl\engine\resources\shaders\utility\light.vert", "GLSL", 9, 0, 0, 0, 2, 11
"d:\Adata\study\opengl\engine\src\core\Application.cpp", "C++", 0, 0, 138, 11, 21, 170
"d:\Adata\study\opengl\engine\src\core\Camera.cpp", "C++", 0, 0, 81, 1, 14, 96
"d:\Adata\study\opengl\engine\src\core\Framebuffer.cpp", "C++", 0, 0, 152, 3, 34, 189
"d:\Adata\study\opengl\engine\src\core\Geometry.cpp", "C++", 0, 0, 519, 85, 134, 738
"d:\Adata\study\opengl\engine\src\core\Light.cpp", "C++", 0, 0, 55, 3, 7, 65
"d:\Adata\study\opengl\engine\src\core\Material.cpp", "C++", 0, 0, 87, 0, 13, 100
"d:\Adata\study\opengl\engine\src\core\Mesh.cpp", "C++", 0, 0, 49, 7, 16, 72
"d:\Adata\study\opengl\engine\src\core\Model.cpp", "C++", 0, 0, 223, 17, 36, 276
"d:\Adata\study\opengl\engine\src\core\Renderer.cpp", "C++", 0, 0, 625, 55, 100, 780
"d:\Adata\study\opengl\engine\src\core\Shader.cpp", "C++", 0, 0, 118, 3, 26, 147
"d:\Adata\study\opengl\engine\src\core\Texture.cpp", "C++", 0, 0, 92, 2, 14, 108
"d:\Adata\study\opengl\engine\src\main.cpp", "C++", 0, 0, 8, 1, 1, 10
"d:\Adata\study\opengl\engine\src\ui\EditorUI.cpp", "C++", 0, 0, 680, 43, 60, 783
"d:\Adata\study\opengl\engine\src\utils\FileDialog.cpp", "C++", 0, 0, 84, 6, 15, 105
"d:\Adata\study\opengl\engine\src\utils\FileSystem.cpp", "C++", 0, 0, 23, 2, 5, 30
"d:\Adata\study\opengl\engine\src\utils\Logger.cpp", "C++", 0, 0, 37, 1, 6, 44
"d:\Adata\study\opengl\engine\xmake.lua", "XMake", 0, 18, 0, 70, 3, 91
"Total", "-", 509, 18, 9782, 1710, 1690, 13709
