"filename", "language", "XMake", "C++", "GLSL", "comment", "blank", "total"
"d:\Adata\study\opengl\engine\include\core\Application.hpp", "C++", 0, 29, 0, 0, 10, 39
"d:\Adata\study\opengl\engine\include\core\Camera.hpp", "C++", 0, 58, 0, 4, 14, 76
"d:\Adata\study\opengl\engine\include\core\Framebuffer.hpp", "C++", 0, 62, 0, 13, 22, 97
"d:\Adata\study\opengl\engine\include\core\Geometry.hpp", "C++", 0, 140, 0, 1, 7, 148
"d:\Adata\study\opengl\engine\include\core\Light.hpp", "C++", 0, 133, 0, 2, 29, 164
"d:\Adata\study\opengl\engine\include\core\Material.hpp", "C++", 0, 43, 0, 3, 11, 57
"d:\Adata\study\opengl\engine\include\core\Mesh.hpp", "C++", 0, 76, 0, 3, 14, 93
"d:\Adata\study\opengl\engine\include\core\Model.hpp", "C++", 0, 52, 0, 0, 11, 63
"d:\Adata\study\opengl\engine\include\core\Renderer.hpp", "C++", 0, 230, 0, 19, 34, 283
"d:\Adata\study\opengl\engine\include\core\Shader.hpp", "C++", 0, 29, 0, 1, 8, 38
"d:\Adata\study\opengl\engine\include\core\Texture.hpp", "C++", 0, 37, 0, 1, 7, 45
"d:\Adata\study\opengl\engine\include\stb_image.h", "C++", 0, 5833, 0, 1294, 861, 7988
"d:\Adata\study\opengl\engine\include\ui\EditorUI.hpp", "C++", 0, 60, 0, 2, 11, 73
"d:\Adata\study\opengl\engine\include\utils\FileDialog.hpp", "C++", 0, 8, 0, 5, 3, 16
"d:\Adata\study\opengl\engine\include\utils\FileSystem.hpp", "C++", 0, 10, 0, 0, 2, 12
"d:\Adata\study\opengl\engine\include\utils\Logger.hpp", "C++", 0, 27, 0, 0, 7, 34
"d:\Adata\study\opengl\engine\resources\shaders\deferred\geometry_pass.frag", "GLSL", 0, 0, 57, 6, 10, 73
"d:\Adata\study\opengl\engine\resources\shaders\deferred\geometry_pass.vert", "GLSL", 0, 0, 23, 0, 6, 29
"d:\Adata\study\opengl\engine\resources\shaders\deferred\lighting_pass.frag", "GLSL", 0, 0, 100, 31, 33, 164
"d:\Adata\study\opengl\engine\resources\shaders\deferred\lighting_pass.vert", "GLSL", 0, 0, 17, 1, 3, 21
"d:\Adata\study\opengl\engine\resources\shaders\forward\blinn_phong.frag", "GLSL", 0, 0, 156, 26, 50, 232
"d:\Adata\study\opengl\engine\resources\shaders\forward\blinn_phong.vert", "GLSL", 0, 0, 23, 0, 6, 29
"d:\Adata\study\opengl\engine\resources\shaders\postprocess\bloom_blur.frag", "GLSL", 0, 0, 28, 0, 2, 30
"d:\Adata\study\opengl\engine\resources\shaders\postprocess\bloom_prefilter.frag", "GLSL", 0, 0, 14, 0, 2, 16
"d:\Adata\study\opengl\engine\resources\shaders\postprocess\post.frag", "GLSL", 0, 0, 26, 4, 7, 37
"d:\Adata\study\opengl\engine\resources\shaders\postprocess\post_msaa.frag", "GLSL", 0, 0, 16, 0, 3, 19
"d:\Adata\study\opengl\engine\resources\shaders\postprocess\quad.vert", "GLSL", 0, 0, 9, 0, 3, 12
"d:\Adata\study\opengl\engine\resources\shaders\postprocess\ssao.frag", "GLSL", 0, 0, 34, 0, 7, 41
"d:\Adata\study\opengl\engine\resources\shaders\utility\light.frag", "GLSL", 0, 0, 7, 0, 2, 9
"d:\Adata\study\opengl\engine\resources\shaders\utility\light.vert", "GLSL", 0, 0, 9, 0, 2, 11
"d:\Adata\study\opengl\engine\resources\shaders\utility\skybox.frag", "GLSL", 0, 0, 13, 1, 5, 19
"d:\Adata\study\opengl\engine\resources\shaders\utility\skybox.vert", "GLSL", 0, 0, 12, 2, 3, 17
"d:\Adata\study\opengl\engine\src\core\Application.cpp", "C++", 0, 138, 0, 11, 21, 170
"d:\Adata\study\opengl\engine\src\core\Camera.cpp", "C++", 0, 81, 0, 1, 14, 96
"d:\Adata\study\opengl\engine\src\core\Framebuffer.cpp", "C++", 0, 167, 0, 3, 35, 205
"d:\Adata\study\opengl\engine\src\core\Geometry.cpp", "C++", 0, 519, 0, 85, 134, 738
"d:\Adata\study\opengl\engine\src\core\Light.cpp", "C++", 0, 147, 0, 23, 20, 190
"d:\Adata\study\opengl\engine\src\core\Material.cpp", "C++", 0, 87, 0, 0, 13, 100
"d:\Adata\study\opengl\engine\src\core\Mesh.cpp", "C++", 0, 49, 0, 7, 16, 72
"d:\Adata\study\opengl\engine\src\core\Model.cpp", "C++", 0, 223, 0, 17, 36, 276
"d:\Adata\study\opengl\engine\src\core\Renderer.cpp", "C++", 0, 693, 0, 56, 110, 859
"d:\Adata\study\opengl\engine\src\core\Shader.cpp", "C++", 0, 118, 0, 3, 26, 147
"d:\Adata\study\opengl\engine\src\core\Texture.cpp", "C++", 0, 132, 0, 2, 18, 152
"d:\Adata\study\opengl\engine\src\main.cpp", "C++", 0, 8, 0, 1, 1, 10
"d:\Adata\study\opengl\engine\src\ui\EditorUI.cpp", "C++", 0, 680, 0, 43, 60, 783
"d:\Adata\study\opengl\engine\src\utils\FileDialog.cpp", "C++", 0, 84, 0, 6, 15, 105
"d:\Adata\study\opengl\engine\src\utils\FileSystem.cpp", "C++", 0, 23, 0, 2, 5, 30
"d:\Adata\study\opengl\engine\src\utils\Logger.cpp", "C++", 0, 37, 0, 1, 6, 44
"d:\Adata\study\opengl\engine\xmake.lua", "XMake", 18, 0, 0, 70, 3, 91
"Total", "-", 18, 10013, 544, 1750, 1728, 14053
