"filename", "language", "Ini", "C++", "XMake", "JSON", "GLSL", "comment", "blank", "total"
"d:\Adata\study\opengl\engine\imgui.ini", "Ini", 21, 0, 0, 0, 0, 0, 7, 28
"d:\Adata\study\opengl\engine\include\core\Application.hpp", "C++", 0, 30, 0, 0, 0, 0, 10, 40
"d:\Adata\study\opengl\engine\include\core\Camera.hpp", "C++", 0, 58, 0, 0, 0, 4, 14, 76
"d:\Adata\study\opengl\engine\include\core\Framebuffer.hpp", "C++", 0, 62, 0, 0, 0, 13, 22, 97
"d:\Adata\study\opengl\engine\include\core\Geometry.hpp", "C++", 0, 140, 0, 0, 0, 1, 7, 148
"d:\Adata\study\opengl\engine\include\core\Light.hpp", "C++", 0, 175, 0, 0, 0, 9, 38, 222
"d:\Adata\study\opengl\engine\include\core\Material.hpp", "C++", 0, 40, 0, 0, 0, 3, 11, 54
"d:\Adata\study\opengl\engine\include\core\Mesh.hpp", "C++", 0, 76, 0, 0, 0, 3, 14, 93
"d:\Adata\study\opengl\engine\include\core\Model.hpp", "C++", 0, 61, 0, 0, 0, 0, 12, 73
"d:\Adata\study\opengl\engine\include\core\Renderer.hpp", "C++", 0, 268, 0, 0, 0, 21, 41, 330
"d:\Adata\study\opengl\engine\include\core\Shader.hpp", "C++", 0, 29, 0, 0, 0, 1, 8, 38
"d:\Adata\study\opengl\engine\include\core\Texture.hpp", "C++", 0, 39, 0, 0, 0, 1, 6, 46
"d:\Adata\study\opengl\engine\include\stb_image.h", "C++", 0, 5833, 0, 0, 0, 1294, 861, 7988
"d:\Adata\study\opengl\engine\include\ui\EditorUI.hpp", "C++", 0, 124, 0, 0, 0, 18, 24, 166
"d:\Adata\study\opengl\engine\include\utils\FileDialog.hpp", "C++", 0, 8, 0, 0, 0, 5, 3, 16
"d:\Adata\study\opengl\engine\include\utils\FileSystem.hpp", "C++", 0, 10, 0, 0, 0, 0, 2, 12
"d:\Adata\study\opengl\engine\include\utils\Logger.hpp", "C++", 0, 27, 0, 0, 0, 0, 7, 34
"d:\Adata\study\opengl\engine\resources\scene\test.json", "JSON", 0, 0, 0, 370, 0, 0, 0, 370
"d:\Adata\study\opengl\engine\resources\scene\test_scene.json", "JSON", 0, 0, 0, 350, 0, 0, 0, 350
"d:\Adata\study\opengl\engine\resources\shaders\deferred\geometry_pass.frag", "GLSL", 0, 0, 0, 0, 66, 6, 11, 83
"d:\Adata\study\opengl\engine\resources\shaders\deferred\geometry_pass.vert", "GLSL", 0, 0, 0, 0, 23, 0, 6, 29
"d:\Adata\study\opengl\engine\resources\shaders\deferred\lighting_pass.frag", "GLSL", 0, 0, 0, 0, 152, 43, 46, 241
"d:\Adata\study\opengl\engine\resources\shaders\deferred\lighting_pass.vert", "GLSL", 0, 0, 0, 0, 15, 1, 2, 18
"d:\Adata\study\opengl\engine\resources\shaders\forward\blinn_phong.frag", "GLSL", 0, 0, 0, 0, 197, 39, 63, 299
"d:\Adata\study\opengl\engine\resources\shaders\forward\blinn_phong.vert", "GLSL", 0, 0, 0, 0, 23, 0, 6, 29
"d:\Adata\study\opengl\engine\resources\shaders\postprocess\bloom_blur.frag", "GLSL", 0, 0, 0, 0, 28, 0, 2, 30
"d:\Adata\study\opengl\engine\resources\shaders\postprocess\bloom_prefilter.frag", "GLSL", 0, 0, 0, 0, 14, 0, 2, 16
"d:\Adata\study\opengl\engine\resources\shaders\postprocess\fxaa.frag", "GLSL", 0, 0, 0, 0, 46, 9, 13, 68
"d:\Adata\study\opengl\engine\resources\shaders\postprocess\post.frag", "GLSL", 0, 0, 0, 0, 22, 3, 6, 31
"d:\Adata\study\opengl\engine\resources\shaders\postprocess\post_msaa.frag", "GLSL", 0, 0, 0, 0, 16, 0, 3, 19
"d:\Adata\study\opengl\engine\resources\shaders\postprocess\quad.vert", "GLSL", 0, 0, 0, 0, 9, 0, 3, 12
"d:\Adata\study\opengl\engine\resources\shaders\postprocess\ssao.frag", "GLSL", 0, 0, 0, 0, 38, 8, 12, 58
"d:\Adata\study\opengl\engine\resources\shaders\postprocess\ssao_blur.frag", "GLSL", 0, 0, 0, 0, 15, 1, 4, 20
"d:\Adata\study\opengl\engine\resources\shaders\utility\light.frag", "GLSL", 0, 0, 0, 0, 7, 0, 2, 9
"d:\Adata\study\opengl\engine\resources\shaders\utility\light.vert", "GLSL", 0, 0, 0, 0, 9, 0, 2, 11
"d:\Adata\study\opengl\engine\resources\shaders\utility\shadow_depth.frag", "GLSL", 0, 0, 0, 0, 4, 2, 1, 7
"d:\Adata\study\opengl\engine\resources\shaders\utility\shadow_depth.vert", "GLSL", 0, 0, 0, 0, 12, 0, 3, 15
"d:\Adata\study\opengl\engine\resources\shaders\utility\skybox.frag", "GLSL", 0, 0, 0, 0, 13, 1, 5, 19
"d:\Adata\study\opengl\engine\resources\shaders\utility\skybox.vert", "GLSL", 0, 0, 0, 0, 12, 2, 3, 17
"d:\Adata\study\opengl\engine\src\core\Application.cpp", "C++", 0, 228, 0, 0, 0, 20, 38, 286
"d:\Adata\study\opengl\engine\src\core\Camera.cpp", "C++", 0, 81, 0, 0, 0, 1, 14, 96
"d:\Adata\study\opengl\engine\src\core\Framebuffer.cpp", "C++", 0, 167, 0, 0, 0, 3, 35, 205
"d:\Adata\study\opengl\engine\src\core\Geometry.cpp", "C++", 0, 519, 0, 0, 0, 85, 134, 738
"d:\Adata\study\opengl\engine\src\core\Light.cpp", "C++", 0, 365, 0, 0, 0, 80, 69, 514
"d:\Adata\study\opengl\engine\src\core\Material.cpp", "C++", 0, 76, 0, 0, 0, 0, 12, 88
"d:\Adata\study\opengl\engine\src\core\Mesh.cpp", "C++", 0, 49, 0, 0, 0, 7, 16, 72
"d:\Adata\study\opengl\engine\src\core\Model.cpp", "C++", 0, 226, 0, 0, 0, 17, 37, 280
"d:\Adata\study\opengl\engine\src\core\Renderer.cpp", "C++", 0, 1540, 0, 0, 0, 153, 207, 1900
"d:\Adata\study\opengl\engine\src\core\Shader.cpp", "C++", 0, 118, 0, 0, 0, 3, 26, 147
"d:\Adata\study\opengl\engine\src\core\Texture.cpp", "C++", 0, 126, 0, 0, 0, 1, 18, 145
"d:\Adata\study\opengl\engine\src\main.cpp", "C++", 0, 8, 0, 0, 0, 1, 1, 10
"d:\Adata\study\opengl\engine\src\ui\EditorUI.cpp", "C++", 0, 1426, 0, 0, 0, 114, 208, 1748
"d:\Adata\study\opengl\engine\src\utils\FileDialog.cpp", "C++", 0, 48, 0, 0, 0, 4, 17, 69
"d:\Adata\study\opengl\engine\src\utils\FileSystem.cpp", "C++", 0, 23, 0, 0, 0, 2, 5, 30
"d:\Adata\study\opengl\engine\src\utils\Logger.cpp", "C++", 0, 37, 0, 0, 0, 1, 6, 44
"d:\Adata\study\opengl\engine\xmake.lua", "XMake", 0, 0, 18, 0, 0, 70, 3, 91
"Total", "-", 21, 12017, 18, 720, 721, 2050, 2128, 17675
