"filename", "language", "Ini", "C++", "JSON", "GLSL", "comment", "blank", "total"
"d:\Adata\study\opengl\engine\imgui.ini", "Ini", 35, 0, 0, 0, 0, 5, 40
"d:\Adata\study\opengl\engine\include\core\Model.hpp", "C++", 0, 1, 0, 0, 0, 0, 1
"d:\Adata\study\opengl\engine\include\core\Renderer.hpp", "C++", 0, 25, 0, 0, 4, 5, 34
"d:\Adata\study\opengl\engine\include\core\Texture.hpp", "C++", 0, 3, 0, 0, 2, 2, 7
"d:\Adata\study\opengl\engine\include\core\TextureManager.hpp", "C++", 0, 20, 0, 0, 4, 9, 33
"d:\Adata\study\opengl\engine\include\ui\EditorUI.hpp", "C++", 0, 28, 0, 0, 3, 3, 34
"d:\Adata\study\opengl\engine\resources\scene\test.json", "JSON", 0, 0, 24, 0, 0, 0, 24
"d:\Adata\study\opengl\engine\resources\shaders\deferred\lighting_pass.frag", "GLSL", 0, 0, 0, 194, 24, 59, 277
"d:\Adata\study\opengl\engine\resources\shaders\deferred\pbr_geometry_pass.frag", "GLSL", 0, 0, 0, 49, 8, 14, 71
"d:\Adata\study\opengl\engine\resources\shaders\deferred\pbr_geometry_pass.vert", "GLSL", 0, 0, 0, 28, 3, 8, 39
"d:\Adata\study\opengl\engine\resources\shaders\deferred\pbr_lighting_pass.frag", "GLSL", 0, 0, 0, 0, 0, 1, 1
"d:\Adata\study\opengl\engine\resources\shaders\forward\pbr.frag", "GLSL", 0, 0, 0, 237, 33, 72, 342
"d:\Adata\study\opengl\engine\resources\shaders\forward\pbr.vert", "GLSL", 0, 0, 0, 28, 3, 8, 39
"d:\Adata\study\opengl\engine\resources\shaders\ibl\brdf_lut.frag", "GLSL", 0, 0, 0, 85, 3, 24, 112
"d:\Adata\study\opengl\engine\resources\shaders\ibl\cubemap.vert", "GLSL", 0, 0, 0, 10, 0, 4, 14
"d:\Adata\study\opengl\engine\resources\shaders\ibl\equirectangular_to_cubemap.frag", "GLSL", 0, 0, 0, 18, 0, 5, 23
"d:\Adata\study\opengl\engine\resources\shaders\ibl\irradiance_convolution.frag", "GLSL", 0, 0, 0, 27, 3, 9, 39
"d:\Adata\study\opengl\engine\resources\shaders\ibl\prefilter.frag", "GLSL", 0, 0, 0, 77, 6, 23, 106
"d:\Adata\study\opengl\engine\resources\shaders\utility\skybox.frag", "GLSL", 0, 0, 0, -3, 6, 1, 4
"d:\Adata\study\opengl\engine\src\core\Framebuffer.cpp", "C++", 0, 12, 0, 0, 4, 4, 20
"d:\Adata\study\opengl\engine\src\core\Light.cpp", "C++", 0, 0, 0, 0, -4, -1, -5
"d:\Adata\study\opengl\engine\src\core\Material.cpp", "C++", 0, 18, 0, 0, 3, 1, 22
"d:\Adata\study\opengl\engine\src\core\Model.cpp", "C++", 0, 11, 0, 0, 0, 1, 12
"d:\Adata\study\opengl\engine\src\core\Renderer.cpp", "C++", 0, 605, 0, 0, 52, 93, 750
"d:\Adata\study\opengl\engine\src\core\Texture.cpp", "C++", 0, 8, 0, 0, 1, 5, 14
"d:\Adata\study\opengl\engine\src\core\TextureManager.cpp", "C++", 0, 39, 0, 0, 3, 11, 53
"d:\Adata\study\opengl\engine\src\ui\EditorUI.cpp", "C++", 0, 396, 0, 0, 34, 52, 482
"Total", "-", 35, 1166, 24, 750, 195, 418, 2588
